SRCID,Q1,Q5a,Q5c,p_age_group_sdc,p_education_sdc,TFC_DUM1
2003,4,1,2,4,1,"(1,2]"
1379,3,1,1,2,2,"(1,2]"
1420,2,1,1,4,NA,"(1,2]"
2048,2,1,2,2,1,"(1,2]"
1704,1,2,1,2,2,"(1,2]"
359,4,2,1,3,2,"(1,2]"
825,4,2,2,2,3,"(1,2]"
1930,4,3,2,1,1,"(1,2]"
2096,5,2,1,2,2,"(1,2]"
1208,4,2,2,2,1,"(1,2]"
2333,2,2,2,1,3,"(1,2]"
612,4,3,2,2,2,"(1,2]"
96,4,2,2,4,3,"(1,2]"
1678,2,2,2,2,1,"(1,2]"
1384,2,1,3,4,1,"(1,2]"
727,4,2,2,3,2,"(1,2]"
1589,2,1,2,1,3,"(1,2]"
2078,2,2,2,3,2,"(1,2]"
2503,1,1,2,4,3,"(1,2]"
2032,4,1,1,4,1,"(1,2]"
859,2,2,2,3,2,"(1,2]"
1201,4,3,3,2,2,"(1,2]"
1673,4,2,1,1,1,"(1,2]"
63,4,2,2,3,1,"(1,2]"
1752,1,2,1,3,2,"(1,2]"
817,2,1,2,4,NA,"(1,2]"
571,2,1,1,4,3,"(1,2]"
974,2,1,1,4,3,"(1,2]"
2412,2,1,1,1,1,"(1,2]"
1768,2,2,2,4,3,"(1,2]"
1041,2,1,2,4,3,"(1,2]"
1689,2,1,1,3,2,"(1,2]"
1502,2,1,1,4,3,"(1,2]"
42,2,2,2,4,3,"(1,2]"
183,2,2,2,2,3,"(1,2]"
71,2,1,1,2,1,"(1,2]"
116,2,1,2,3,1,"(1,2]"
1394,2,1,2,4,1,"(1,2]"
496,2,2,2,2,1,"(1,2]"
2021,2,1,1,3,1,"(1,2]"
1048,2,2,2,2,1,"(1,2]"
396,2,1,1,2,1,"(1,2]"
1892,2,2,2,3,1,"(1,2]"
593,4,2,3,4,1,"(1,2]"
1429,2,2,2,2,1,"(1,2]"
752,4,1,3,3,1,"(1,2]"
1760,2,2,2,2,2,"(1,2]"
1796,2,1,2,4,2,"(1,2]"
138,4,2,2,1,1,"(1,2]"
200,2,1,2,4,2,"(1,2]"
692,4,1,3,2,1,"(1,2]"
2530,4,2,1,3,2,"(1,2]"
1898,4,1,2,3,1,"(1,2]"
1143,1,1,2,2,1,"(1,2]"
1224,2,-98,1,4,1,"(1,2]"
329,2,2,2,3,3,"(1,2]"
2117,2,1,2,2,1,"(1,2]"
604,5,2,2,2,1,"(1,2]"
462,4,1,1,2,3,"(1,2]"
1835,2,2,1,3,3,"(1,2]"
1124,2,1,1,4,1,"(1,2]"
345,2,1,3,4,3,"(1,2]"
2475,2,1,2,4,2,"(1,2]"
554,1,1,3,4,3,"(1,2]"
1333,2,1,2,4,3,"(1,2]"
217,4,2,3,3,1,"(1,2]"
563,1,1,3,4,2,"(1,2]"
2001,2,1,1,2,3,"(1,2]"
304,4,1,2,1,1,"(1,2]"
99,4,2,3,3,1,"(1,2]"
1088,2,2,2,2,2,"(1,2]"
726,2,2,2,4,2,"(1,2]"
221,4,2,4,2,1,"(1,2]"
1803,4,3,2,2,2,"(1,2]"
453,2,2,1,2,1,"(1,2]"
1958,4,1,3,2,2,"(1,2]"
1575,4,1,3,4,1,"(1,2]"
416,4,3,2,1,1,"(1,2]"
1905,4,1,2,3,2,"(1,2]"
2472,2,2,1,4,3,"(1,2]"
2102,2,2,3,2,1,"(1,2]"
1609,2,4,2,4,3,"(1,2]"
372,2,2,2,2,3,"(1,2]"
156,1,1,2,4,1,"(1,2]"
1033,2,2,3,4,1,"(1,2]"
208,5,2,1,1,1,"(1,2]"
2106,4,1,3,3,3,"(1,2]"
1492,2,1,2,3,3,"(1,2]"
700,1,1,1,2,1,"(1,2]"
1488,2,3,3,3,2,"(1,2]"
1064,4,1,1,4,1,"(1,2]"
276,2,4,1,3,3,"(1,2]"
1755,4,1,1,3,2,"(1,2]"
1784,2,4,4,3,1,"(1,2]"
599,2,1,1,3,1,"(1,2]"
1946,2,1,3,4,3,"(1,2]"
1257,4,2,2,3,3,"(1,2]"
1355,4,1,1,3,3,"(1,2]"
367,4,2,4,4,3,"(1,2]"
1562,2,2,2,2,3,"(1,2]"
883,4,2,1,4,2,"(1,2]"
1692,1,2,3,3,1,"(1,2]"
261,2,1,1,1,2,"(1,2]"
866,2,1,3,4,1,"(1,2]"
776,2,1,2,4,3,"(1,2]"
1699,2,1,1,4,2,"(1,2]"
958,4,1,1,4,1,"(1,2]"
641,2,1,1,4,1,"(1,2]"
1797,2,3,2,3,3,"(1,2]"
1918,1,2,1,4,3,"(1,2]"
1238,4,2,2,4,3,"(1,2]"
239,4,1,2,1,2,"(1,2]"
199,4,2,3,3,1,"(1,2]"
2534,4,2,1,1,2,"(1,2]"
192,2,1,1,1,1,"(1,2]"
1089,2,2,1,4,2,"(1,2]"
387,1,2,3,4,1,"(1,2]"
316,1,1,3,2,2,"(1,2]"
1275,2,2,2,2,2,"(1,2]"
1268,4,1,1,1,2,"(1,2]"
1595,2,1,1,2,1,"(1,2]"
144,4,2,2,2,2,"(1,2]"
1267,1,1,1,3,1,"(1,2]"
1347,1,2,1,2,3,"(1,2]"
251,4,2,2,4,1,"(1,2]"
625,2,2,2,3,2,"(1,2]"
1178,5,2,2,2,2,"(1,2]"
119,2,2,2,4,3,"(1,2]"
448,4,2,1,4,1,"(1,2]"
759,4,1,3,4,2,"(1,2]"
1866,4,2,2,2,3,"(1,2]"
1649,4,2,1,2,2,"(1,2]"
461,2,1,3,2,3,"(1,2]"
2531,2,1,1,1,3,"(1,2]"
1013,4,1,2,4,3,"(1,2]"
1654,2,2,2,4,3,"(1,2]"
