SRCID,Mode,Q1,Q2,nominal Q2,Q3,Q4,binary undecided voter,DUM1,DUM2,Q5a,Q5b,Q5c,Q5d,Q5e,Q5f,Q5g,Q5h,Q5i,Q5j,Q5k,Q5m,Q6,Q7a,Q7b,Q7c,Q7d,Q7e,Q7f,Q7g,Q7h,Q7i,Q8,Q9a,Q9b,Q9c,Q9d,Q9e,Q9f,Q9g,Q9h,Q9i,Q9j,Q9k,Q10,Q11a,Q11b,Q11c,Q11d,Q11e,Q11f,Q11g,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q13_DK,Q13_REF,Q14,Q15a,Q15b,Q15c,Q15d,Q15e,Q15f,Q15g,Q15h,Q15i,Q15_safe_gambler,Q16a,Q16b,Q16c,Q16d,Q16e,Q16f,Q16g,Q16h,Q16i,Q17a,Q17b,Q17c,Q17d,Q18,Q20,Q22,Q23,Q24,Q25,p_gender_sdc,p_age_group_sdc,p_education_sdc,p_state_sdc,StateMap,nominal StateMap
39,2,2,19,"""19""",16,3,FALSE,2,1,2,2,2,2,3,1,1,2,2,2,3,1,10,1,2,1,2,1,2,2,1,2,5,2,3,3,3,3,2,2,2,2,2,2,1,2,4,2,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , ,,2,2,1,3,2,3,4,3,2,4,2,2,2,5,5,3,2006,1,2,2,3,1,1,1,"""1"""
156,2,1,12,"""12""",11,1,FALSE,2,1,1,3,2,3,3,1,2,2,2,2,2,1,6,1,2,2,1,1,1,2,1,1,5,4,2,4,4,4,3,1,1,1,2,2,1,1,4,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , ,,3,2,2,2,2,4,4,4,3,4,2,3,2,2,8,3,1964,1,2,2,4,1,1,1,"""1"""
605,2,2,-98,"""-98""", ,3,FALSE,1,3,2,2,2,2,2,2,3,2,3,2,2,2,1,2,1,1,1,1,1,2,1,1,4,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-99,4,4,4,4,4,4,4,4,4,1,3,2,3,2,3,2,4,2,3,2,2,2,3,3,3,-98, , , ,2,3,3,1,1,"""1"""
41,2,2,16,"""16""",5,3,FALSE,2,2,1,2,3,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,4,3,2,3,3,3,3,2,2,2,1,2,2,1,4,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,4,4,4,4,4,4,4,4,4,1,3,1,1,4,1,4,4,3,2,4,1,4,4,9,8,1, , , ,2,4,2,1,1,"""1"""
1295,1,4,29,"""29""",16,5,FALSE,2,3,3,2,3,2,3,2,2,3,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,4,3,3,2,3,-98,3,2,2,3,2,2,2,3,2,2,2,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,12,4,4,4,4,4,4,4,4,4,1,2,1,3,3,2,3,2,3,2,2,2,3,3,6,8,1, , , ,1,2,2,1,1,"""1"""
29,2,4,11,"""11""",1,3,FALSE,1,1,3,1,1,1,2,1,1,2,1,2,1,2,4,2,1,1,1,1,1,3,1,1,9,3,3,3,3,3,2,2,2,2,2,1,2,2,3,2,1,2,2,1,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,12,4,4,4,4,4,4,4,4,4,1,2,1,2,3,3,4,4,3,1,4,2,3,3,9,8,1, , , ,1,4,2,1,1,"""1"""
315,2,2,11,"""11""",11,-98,TRUE,2,1,1,2,2,1,3,1,2,2,1,2,3,2,1,2,2,2,2,1,2,2,1,2,5,3,3,2,2,3,2,2,2,2,3,2,2,2,3,3,2,2,2,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,24,4,4,4,4,4,4,4,4,4,1,3,1,2,2,2,4,4,3,2,4,2,3,3,7,8,1, , , ,2,3,2,1,1,"""1"""
1625,1,4,16,"""16""",5,1,FALSE,2,1,2,2,2,1,1,2,1,1,2,2,2,2,4,2,1,2,2,2,1,2,2,2,4,3,3,3,3,3,1,1,1,1,1,1,1,2,3,2,3,2,3,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,52,4,4,4,4,4,4,4,4,4,1,2,2,3,2,3,2,3,3,2,2,3,2,2,8,6,1, , , ,2,3,3,1,1,"""1"""
1813,2,2,32,"""32""",16,3,FALSE,1,3,2,3,3,2,3,2,2,2,2,2,2,3,6,3,2,2,2,2,2,3,2,2,8,3,3,2,2,4,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,1,1,0,1,1,0,0,0,0,1,0,0,0,0,72,3,4,3,4,4,4,3,4,4,0.888888889,2,1,2,2,3,3,3,3,2,4,2,3,3,6,6,1, , , ,1,3,2,1,1,"""1"""
1161,1,2,13,"""13""",-96,96,FALSE,1,3,1,1,2,1,1,2,2,2,2,2,3,2,12,1,1,1,1,1,1,1,1,1,3,3,3,2,3,3,3,2,2,1,1,1,1,2,3,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , ,,3,2,1,3,1,3,3,2,3,4,2,3,2,0,3,1, , , ,2,4,3,1,1,"""1"""
936,1,2,1,"""1""",11,1,FALSE,1,3,1,1,1,3,-98,3,-98,-98,3,-98,2,1,-98,1,1,1,1,1,1,1,1,1,9,1,2,2,1,3,1,1,2,2,-98,-98,-98,1,3,2,1,1,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , ,,4,1,1,4,1,4,4,1,4,4,1,4,4,8,8,1, , , ,2,3,3,1,1,"""1"""
413,2,2,5,"""5""",1,-98,TRUE,1,1,2,3,2,1,3,2,3,3,3,3,3,2,4,2,1,2,1,1,1,2,1,1,9,3,3,2,2,2,2,2,2,2,2,2,-98,2,3,2,2,2,2,2,-98,1,1,0,1,1,1,1,0,0,0,0,0,0,0,6,4,4,4,4,4,4,4,4,4,1,2,1,2,-98,3,3,3,3,2,3,2,2,2,8,7,1, , , ,2,3,2,1,1,"""1"""
758,2,4,11,"""11""",19,4,FALSE,2,1,1,1,1,1,1,1,3,1,1,1,1,1,9,1,1,2,1,1,1,2,1,2,5,3,4,3,4,4,2,4,1,1,1,1,1,1,3,2,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , ,,2,2,2,3,2,3,2,3,3,3,2,2,2,2,2,2, , , ,2,3,3,1,1,"""1"""
1631,2,2,11,"""11""",4,2,FALSE,2,1,1,1,2,2,2,1,2,2,1,2,2,1,12,1,1,1,1,1,1,1,1,1,5,3,3,3,2,3,2,2,2,2,2,2,1,1,3,2,1,2,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , ,,4,1,1,4,1,3,3,2,1,4,1,3,3,5,7,1, , , ,2,4,3,1,1,"""1"""
1407,2,2,32,"""32""",96,1,FALSE,1,3,1,1,1,1,1,1,1,1,1,1,1,1,12,1,1,1,1,1,1,1,1,1,9,3,2,3,2,2,3,4,2,2,3,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , ,,2,1,1,3,1,3,3,2,2,3,3,2,4,4,5,3,2005,1,2,1,2,1,1,1,"""1"""
42,1,2,13,"""13""",11,1,FALSE,2,2,2,2,2,2,2,2,2,2,2,2,-98,3,1,2,1,1,1,1,2,1,1,1,2,3,1,2,3,3,1,1,2,1,2,1,2,1,3,3,4,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , ,,1,1,1,3,1,4,4,3,1,4,1,4,-98,3,9,3, , , ,2,4,3,1,1,"""1"""
645,2,5,1,"""1""",19,1,FALSE,1,1,2,2,2,2,3,1,2,3,2,2,2,2,6,1,1,2,2,2,2,2,1,1,1,3,4,3,2,3,2,2,3,2,3,3,2,1,3,1,2,1,1,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,104,4,4,3,4,4,4,3,3,4,0.888888889,2,2,2,2,2,2,2,3,2,3,2,2,2,5,5,1, , , ,1,3,2,1,1,"""1"""
1466,2,4,16,"""16""",13,96,FALSE,1,1,2,2,1,2,3,3,3,2,2,3,4,2,3,1,1,2,1,1,1,2,2,1,6,4,3,4,3,3,3,3,3,2,3,2,2,2,3,2,2,2,2,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,24,4,4,4,4,4,4,4,4,4,1,2,1,3,3,4,2,3,3,2,3,2,3,3,4,6,3, , , ,2,3, ,1,1,"""1"""
1008,1,1,27,"""27""",2,1,FALSE,1,1,1,1,2,1,2,1,1,3,2,2,2,3,2,1,1,1,1,1,1,1,1,1,9,3,2,3,2,2,1,2,2,2,3,2,1,2,2,2,3,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , ,,4,1,1,4,1,3,3,2,2,3,2,3,3,6,8,1, , , ,2,4,3,1,1,"""1"""
37,1,2,1,"""1""", ,1,FALSE,2,2,1,1,1,1,2,1,2,2,2,1,2,2,2,1,1,1,1,2,2,1,1,1,2,3,1,1,2,3,2,2,2,3,2,2,1,2,2,2,1,1,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,1,2,1,2,3,2,4,4,3,1,4,1,2,1,6,8,1, , , ,2,4,3,1,1,"""1"""
763,2,4,11,"""11""",6,3,FALSE,1,3,1,2,2,1,1,1,1,2,2,1,1,1,12,1,1,1,1,1,1,1,1,1,3,2,4,3,3,3,2,1,2,2,2,2,1,2,4,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , ,,3,1,1,3,1,4,4,4,2,3,2,3,3,8,10,3,1961,1,2,2,4,1,1,1,"""1"""
17,1,4,36,"""36""",16,1,FALSE,1,1,2,1,2,1,3,2,2,3,2,3,2,4,4,1,1,2,1,2,1,1,1,1,9,4,3,3,3,3,3,2,3,3,4,3,2,2,3,2,2,2,2,2,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,4,4,4,4,4,4,4,4,4,4,1,2,2,2,2,2,3,3,3,2,3,2,2,2,5,6,1, , , ,2,4,3,1,1,"""1"""
9,1,4,13,"""13""",1,1,FALSE,2,3,1,2,2,1,1,2,2,1,2,2,3,1,1,1,1,1,1,1,2,1,1,1,3,3,3,3,2,3,2,3,2,2,3,3,2,1,3,1,1,3,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,4,4,4,4,4,4,4,4,4,1,1,1,2,3,3,2,2,2,2,3,1,3,3,6,8,1, , , ,2,4,3,1,1,"""1"""
1322,2,2,96,"""96""",19,96,FALSE,1,2,2,1,1,1,1,2,2,1,1,1,1,2,4,2,1,1,2,1,1,1,1,1,5,2,3,2,2,3,2,2,2,2,2,1,1,1,4,2,1,2,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , ,,3,1,1,3,1,4,4,2,2,4,1,3,3,6,9,3,2017,1,1,2,2,1,1,1,"""1"""
837,2,2,16,"""16""",19,3,FALSE,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,8,2,3,2,3,3,2,2,2,1,2,1,1,1,4,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,4,4,4,4,4,4,4,4,4,1,3,2,2,2,2,3,4,3,2,4,1,4,4,5,10,3,1962,1,2,1,4,1,2,2,"""2"""
1156,1,1,1,"""1""",4,1,FALSE,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,2,1,1,4,3,2,1,-98,3,1,1,1,1,1,1,1,1,4,1,1,1,1,1,2,0,1,1,1,0,0,0,0,0,1,0,0,0,0,12,4,4,4,4,4,4,4,4,4,1,2,2,1,1,2,3,3,4,3,3,1,2,4,10,10,1, , , ,1,4,3,2,2,"""2"""
34,1,4,19,"""19""",1,2,FALSE,1,1,2,1,1,1,3,1,3,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,7,3,2,3,3,2,2,3,2,2,3,2,2,2,3,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , ,,2,1,1,4,1,4,4,2,2,3,2,3,2,5,10,3, , , ,1,4,2,2,2,"""2"""
1592,2,2,13,"""13""",17,1,FALSE,1,2,1,3,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,3,1,2,9,2,2,3,2,2,3,3,2,2,3,2,2,2,3,2,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,1,2,1,1,3,1,4,3,3,3,3,1,2,2,6,5,3, , , ,2,2,2,2,2,"""2"""
452,1,2,1,"""1""",5,3,FALSE,2,3,2,1,1,1,1,1,2,2,2,1,2,2,10,1,1,1,1,1,1,1,1,1,5,3,3,1,3,3,1,1,2,2,2,1,1,1,3,2,1,1,1,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,12,4,4,4,4,4,4,4,4,4,1,3,1,1,3,1,4,3,3,1,4,1,2,3,6,8,1,1967,2, ,2,4,1,2,2,"""2"""
2183,2,4,17,"""17""",1,3,FALSE,1,2,3,3,2,2,3,2,2,3,2,2,2,2,4,1,2,2,1,2,2,2,2,1,9,3,3,2,2,3,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,4,4,4,4,4,4,4,4,4,1,3,2,2,3,1,4,3,3,2,2,2,2,3,8,8,3,1992,1,1,2,2,1,6,6,"""6"""
1145,2,2,5,"""5""",6,3,FALSE,1,1,2,2,2,2,3,3,3,3,2,3,2,2,4,2,1,1,2,1,1,1,2,1,1,3,3,3,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,1,2,2,2,2,1,3,3,3,2,2,2,2,2,2,3,1, , , ,2,4,3,6,6,"""6"""
2419,2,2,20,"""20""",11,3,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,2,2,1,1,2,2,1,2,5,2,2,2,2,2,2,2,1,1,2,1,1,2,3,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , ,,3,2,2,3,2,3,3,3,2,3,2,3,3,6,7,3,1954,1,2,2,4,1,2,2,"""2"""
500,1,4,13,"""13""",6,1,FALSE,1,3,2,1,2,2,1,2,2,1,3,2,4,3,4,1,1,1,1,2,1,1,1,1,9,3,2,2,2,3,3,3,2,2,1,1,1,1,4,2,1,2,1,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,52,4,4,4,4,4,4,4,4,4,1,2,1,1,4,2,4,4,3,1,3,1,3,4,7,6,3,1964,1,2,2,4,1,2,2,"""2"""
1139,1,1,16,"""16""",6,1,FALSE,1,1,1,1,2,1,3,1,3,3,1,1,3,1,4,1,1,1,1,2,1,1,1,1,9,3,3,2,2,2,2,2,2,2,2,1,1,1,3,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , ,,3,1,1,2,1,3,2,3,1,3,2,-98,2,5,10,1, , , ,2,4,3,2,2,"""2"""
443,2,2,11,"""11""",13,1,FALSE,1,1,1,2,1,2,1,1,2,2,1,2,1,1,1,1,2,1,2,1,1,1,1,2,5,4,2,3,3,3,4,3,3,2,3,2,1,2,4,1,1,2,2,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,4,4,4,4,4,4,4,4,4,1,2,1,1,4,2,2,4,4,1,4,1,4,2,6,7,3,1992,1,2,1,4,1,2,2,"""2"""
